CaseID,OfficerID,OfficerName,Team,DateCreated,DateClosed,Status,ResolutionHours,SLA_Target_Hours,SLA_Met,CSAT
1025,O002,Officer 2,Team A,2024-04-05,2024-04-06,Closed,26,48,Yes,4.0
1026,O003,Officer 3,Team B,2024-04-12,2024-04-13,Closed,28,48,Yes,3.8
1027,O004,Officer 4,Team B,2024-04-03,2024-04-06,Closed,88,48,No,3.9
1028,O005,Officer 5,Team C,2024-04-05,2024-04-07,Closed,55,48,No,4.4
1029,O002,Officer 2,Team A,2024-04-11,2024-04-13,Closed,64,48,No,4.0
1030,O005,Officer 5,Team C,2024-04-26,2024-04-28,Closed,54,48,No,4.4
1031,O001,Officer 1,Team A,2024-04-05,2024-04-06,Closed,41,48,Yes,3.6
1032,O001,Officer 1,Team A,2024-04-03,2024-04-05,Closed,61,48,No,4.8
1033,O003,Officer 3,Team B,2024-04-14,2024-04-15,Closed,30,48,Yes,4.1
1034,O002,Officer 2,Team A,2024-04-18,2024-04-21,Closed,90,48,No,4.1
1035,O001,Officer 1,Team A,2024-04-23,2024-04-25,Closed,71,48,No,4.2
1036,O005,Officer 5,Team C,2024-04-11,2024-04-14,Closed,92,48,No,4.9
1037,O003,Officer 3,Team B,2024-04-17,2024-04-18,Closed,29,48,Yes,4.4
1038,O002,Officer 2,Team A,2024-04-14,2024-04-14,Closed,21,48,Yes,4.5
1039,O003,Officer 3,Team B,2024-04-22,2024-04-22,Closed,11,48,Yes,3.5
1040,O005,Officer 5,Team C,2024-04-11,2024-04-12,Closed,38,48,Yes,3.8
1041,O005,Officer 5,Team C,2024-04-21,2024-04-21,Closed,16,48,Yes,4.2
1042,O004,Officer 4,Team B,2024-04-10,2024-04-10,Closed,17,48,Yes,4.0
1043,O001,Officer 1,Team A,2024-04-21,2024-04-23,Closed,51,48,No,4.2
1044,O004,Officer 4,Team B,2024-04-27,2024-04-29,Closed,57,48,No,4.4
1045,O004,Officer 4,Team B,2024-04-21,2024-04-24,Closed,81,48,No,4.4
1046,O003,Officer 3,Team B,2024-04-14,2024-04-14,Closed,17,48,Yes,4.4
1047,O001,Officer 1,Team A,2024-04-30,2024-05-02,Closed,48,48,Yes,5.0
1048,O001,Officer 1,Team A,2024-04-25,2024-04-27,Closed,48,48,Yes,4.4
1049,O004,Officer 4,Team B,2024-04-11,2024-04-12,Closed,33,48,Yes,4.8
1050,O001,Officer 1,Team A,2024-04-27,2024-04-30,Closed,89,48,No,4.6
1051,O001,Officer 1,Team A,2024-04-30,2024-05-01,Closed,37,48,Yes,4.1
1052,O004,Officer 4,Team B,2024-04-11,2024-04-11,Closed,7,48,Yes,4.6
1053,O002,Officer 2,Team A,2024-04-30,2024-04-30,Closed,22,48,Yes,3.8
1054,O005,Officer 5,Team C,2024-04-26,2024-04-28,Closed,62,48,No,4.0
1055,O003,Officer 3,Team B,2024-04-13,2024-04-13,Closed,23,48,Yes,4.1
1056,O004,Officer 4,Team B,2024-04-27,2024-04-28,Closed,44,48,Yes,5.0
1057,O001,Officer 1,Team A,2024-04-18,2024-04-18,Closed,8,48,Yes,4.8
1058,O005,Officer 5,Team C,2024-04-04,2024-04-06,Closed,70,48,No,3.6
1059,O005,Officer 5,Team C,2024-04-26,2024-04-29,Closed,89,48,No,4.2
1060,O002,Officer 2,Team A,2024-04-21,2024-04-22,Closed,35,48,Yes,4.0
1061,O004,Officer 4,Team B,2024-04-20,2024-04-22,Closed,62,48,No,3.7
1062,O001,Officer 1,Team A,2024-04-03,2024-04-06,Closed,81,48,No,4.2
1063,O002,Officer 2,Team A,2024-04-10,2024-04-10,Closed,7,48,Yes,4.7
1064,O003,Officer 3,Team B,2024-04-09,2024-04-12,Closed,93,48,No,3.8
1065,O003,Officer 3,Team B,2024-04-15,2024-04-16,Closed,47,48,Yes,4.1
1066,O002,Officer 2,Team A,2024-04-12,2024-04-13,Closed,25,48,Yes,4.8
1067,O004,Officer 4,Team B,2024-04-06,2024-04-06,Closed,2,48,Yes,4.8
1068,O001,Officer 1,Team A,2024-04-08,2024-04-11,Closed,83,48,No,4.0
1069,O003,Officer 3,Team B,2024-04-14,2024-04-17,Closed,95,48,No,3.5
1070,O004,Officer 4,Team B,2024-04-15,2024-04-17,Closed,71,48,No,3.7
1071,O002,Officer 2,Team A,2024-04-11,2024-04-13,Closed,64,48,No,4.3
1072,O004,Officer 4,Team B,2024-04-11,2024-04-13,Closed,63,48,No,3.9
1073,O004,Officer 4,Team B,2024-04-06,2024-04-08,Closed,51,48,No,3.7
1074,O005,Officer 5,Team C,2024-04-06,2024-04-06,Closed,12,48,Yes,4.2
1075,O005,Officer 5,Team C,2024-04-28,2024-04-30,Closed,66,48,No,4.5
1076,O003,Officer 3,Team B,2024-04-25,2024-04-26,Closed,34,48,Yes,4.1
1077,O005,Officer 5,Team C,2024-04-10,2024-04-10,Closed,3,48,Yes,4.1
1078,O002,Officer 2,Team A,2024-04-20,2024-04-20,Closed,23,48,Yes,4.7
1079,O002,Officer 2,Team A,2024-04-14,2024-04-15,Closed,37,48,Yes,4.0
1080,O003,Officer 3,Team B,2024-04-04,2024-04-06,Closed,60,48,No,3.9
1081,O005,Officer 5,Team C,2024-04-25,2024-04-26,Closed,31,48,Yes,4.8
1082,O002,Officer 2,Team A,2024-04-10,2024-04-13,Closed,82,48,No,4.8
1083,O002,Officer 2,Team A,2024-04-24,2024-04-26,Closed,48,48,Yes,4.9
1084,O004,Officer 4,Team B,2024-04-29,2024-04-29,Closed,19,48,Yes,4.0
1085,O004,Officer 4,Team B,2024-04-16,2024-04-18,Closed,55,48,No,3.9
1086,O005,Officer 5,Team C,2024-04-10,2024-04-12,Closed,57,48,No,4.6
1087,O001,Officer 1,Team A,2024-04-27,,Open,46,48,,
1088,O004,Officer 4,Team B,2024-04-21,2024-04-21,Closed,22,48,Yes,4.8
1089,O004,Officer 4,Team B,2024-04-23,2024-04-24,Closed,30,48,Yes,4.2
1090,O003,Officer 3,Team B,2024-04-17,2024-04-19,Closed,59,48,No,4.2
1091,O001,Officer 1,Team A,2024-04-29,2024-05-01,Closed,55,48,No,4.2
1092,O002,Officer 2,Team A,2024-04-20,2024-04-22,Closed,54,48,No,4.5
1093,O005,Officer 5,Team C,2024-04-09,,Open,78,48,,
1094,O004,Officer 4,Team B,2024-04-28,2024-04-28,Closed,7,48,Yes,4.5
1095,O004,Officer 4,Team B,2024-04-25,2024-04-25,Closed,22,48,Yes,4.8
1096,O005,Officer 5,Team C,2024-04-08,2024-04-08,Closed,5,48,Yes,4.1
1097,O003,Officer 3,Team B,2024-04-07,2024-04-08,Closed,36,48,Yes,4.6
1098,O002,Officer 2,Team A,2024-04-30,2024-05-02,Closed,68,48,No,4.0
1099,O003,Officer 3,Team B,2024-04-14,2024-04-15,Closed,46,48,Yes,4.7
1100,O005,Officer 5,Team C,2024-04-27,2024-04-28,Closed,26,48,Yes,3.8
1101,O005,Officer 5,Team C,2024-04-23,2024-04-26,Closed,79,48,No,3.7
1102,O003,Officer 3,Team B,2024-04-22,2024-04-25,Closed,83,48,No,4.8
1103,O004,Officer 4,Team B,2024-04-29,2024-04-30,Closed,36,48,Yes,4.7
1104,O003,Officer 3,Team B,2024-04-05,2024-04-07,Closed,59,48,No,3.7
1105,O003,Officer 3,Team B,2024-04-05,2024-04-07,Closed,62,48,No,4.9
1106,O003,Officer 3,Team B,2024-04-17,,Open,9,48,,
1107,O002,Officer 2,Team A,2024-04-30,2024-05-03,Closed,93,48,No,4.8
1108,O002,Officer 2,Team A,2024-04-01,2024-04-03,Closed,62,48,No,4.2
1109,O001,Officer 1,Team A,2024-04-26,2024-04-28,Closed,48,48,Yes,3.8
1110,O003,Officer 3,Team B,2024-04-20,2024-04-23,Closed,92,48,No,3.9
1111,O005,Officer 5,Team C,2024-04-12,2024-04-14,Closed,54,48,No,5.0
1112,O003,Officer 3,Team B,2024-04-27,2024-04-27,Closed,3,48,Yes,4.4
1113,O002,Officer 2,Team A,2024-04-04,2024-04-07,Closed,81,48,No,4.4
1114,O002,Officer 2,Team A,2024-04-12,2024-04-14,Closed,61,48,No,4.7
1115,O003,Officer 3,Team B,2024-04-13,2024-04-14,Closed,40,48,Yes,4.0
1116,O004,Officer 4,Team B,2024-04-28,,Open,80,48,,
1117,O003,Officer 3,Team B,2024-04-08,,Open,94,48,,
1118,O003,Officer 3,Team B,2024-04-06,2024-04-08,Closed,62,48,No,4.4
1119,O005,Officer 5,Team C,2024-04-16,2024-04-16,Closed,2,48,Yes,4.7
1120,O001,Officer 1,Team A,2024-04-30,2024-05-03,Closed,91,48,No,3.8
1121,O001,Officer 1,Team A,2024-04-08,2024-04-09,Closed,29,48,Yes,3.7
1122,O002,Officer 2,Team A,2024-04-22,2024-04-24,Closed,51,48,No,4.7
1123,O001,Officer 1,Team A,2024-04-17,2024-04-18,Closed,40,48,Yes,3.9
1124,O001,Officer 1,Team A,2024-04-27,2024-04-30,Closed,90,48,No,4.1
1125,O002,Officer 2,Team A,2024-04-13,2024-04-14,Closed,33,48,Yes,4.7
1126,O003,Officer 3,Team B,2024-04-06,2024-04-09,Closed,93,48,No,4.1
1127,O001,Officer 1,Team A,2024-04-29,2024-05-01,Closed,67,48,No,3.5
1128,O004,Officer 4,Team B,2024-04-26,2024-04-27,Closed,29,48,Yes,4.5
1129,O004,Officer 4,Team B,2024-04-15,2024-04-17,Closed,63,48,No,3.7
1130,O005,Officer 5,Team C,2024-04-19,2024-04-20,Closed,33,48,Yes,4.8
1131,O005,Officer 5,Team C,2024-04-15,2024-04-16,Closed,33,48,Yes,4.1
1132,O002,Officer 2,Team A,2024-04-14,2024-04-16,Closed,71,48,No,4.9
1133,O004,Officer 4,Team B,2024-04-13,2024-04-15,Closed,60,48,No,4.8
1134,O001,Officer 1,Team A,2024-04-14,2024-04-17,Closed,84,48,No,3.8
1135,O001,Officer 1,Team A,2024-04-08,2024-04-08,Closed,14,48,Yes,3.9
1136,O003,Officer 3,Team B,2024-04-09,2024-04-12,Closed,74,48,No,4.2
1137,O004,Officer 4,Team B,2024-04-23,2024-04-25,Closed,55,48,No,3.9
1138,O005,Officer 5,Team C,2024-04-21,2024-04-24,Closed,79,48,No,4.4
1139,O003,Officer 3,Team B,2024-04-26,2024-04-27,Closed,37,48,Yes,3.8
1140,O003,Officer 3,Team B,2024-04-09,2024-04-10,Closed,26,48,Yes,4.5
1141,O001,Officer 1,Team A,2024-04-17,2024-04-17,Closed,5,48,Yes,4.5
1142,O002,Officer 2,Team A,2024-04-26,2024-04-28,Closed,60,48,No,4.2
1143,O003,Officer 3,Team B,2024-04-16,2024-04-18,Closed,71,48,No,4.7
1144,O005,Officer 5,Team C,2024-04-12,2024-04-15,Closed,82,48,No,3.5
1145,O004,Officer 4,Team B,2024-04-07,2024-04-08,Closed,30,48,Yes,4.1
1146,O002,Officer 2,Team A,2024-04-04,2024-04-04,Closed,14,48,Yes,4.9
1147,O002,Officer 2,Team A,2024-04-20,2024-04-21,Closed,30,48,Yes,4.0
1148,O005,Officer 5,Team C,2024-04-20,2024-04-22,Closed,55,48,No,3.7
1149,O001,Officer 1,Team A,2024-04-15,2024-04-16,Closed,40,48,Yes,4.8
1150,O005,Officer 5,Team C,2024-04-11,2024-04-13,Closed,62,48,No,4.5
1151,O002,Officer 2,Team A,2024-04-20,2024-04-21,Closed,37,48,Yes,4.3
1152,O004,Officer 4,Team B,2024-04-01,2024-04-02,Closed,46,48,Yes,4.2
1153,O004,Officer 4,Team B,2024-04-19,2024-04-22,Closed,78,48,No,4.7
1154,O001,Officer 1,Team A,2024-04-26,2024-04-26,Closed,21,48,Yes,3.7
1155,O003,Officer 3,Team B,2024-04-14,2024-04-16,Closed,49,48,No,4.5
1156,O001,Officer 1,Team A,2024-04-17,2024-04-20,Closed,77,48,No,5.0
1157,O002,Officer 2,Team A,2024-04-18,2024-04-18,Closed,3,48,Yes,3.9
1158,O004,Officer 4,Team B,2024-04-29,,Open,67,48,,
1159,O002,Officer 2,Team A,2024-04-06,2024-04-09,Closed,94,48,No,3.7
1160,O004,Officer 4,Team B,2024-04-05,2024-04-07,Closed,58,48,No,4.0
1161,O003,Officer 3,Team B,2024-04-17,2024-04-20,Closed,93,48,No,4.1
1162,O002,Officer 2,Team A,2024-04-05,2024-04-08,Closed,84,48,No,5.0
1163,O004,Officer 4,Team B,2024-04-20,2024-04-23,Closed,83,48,No,4.3
1164,O001,Officer 1,Team A,2024-04-11,2024-04-12,Closed,45,48,Yes,5.0
1165,O001,Officer 1,Team A,2024-04-27,2024-04-27,Closed,7,48,Yes,4.0
1166,O002,Officer 2,Team A,2024-04-13,2024-04-13,Closed,11,48,Yes,4.7
1167,O002,Officer 2,Team A,2024-04-18,2024-04-21,Closed,93,48,No,4.0
1168,O004,Officer 4,Team B,2024-04-20,2024-04-20,Closed,18,48,Yes,4.7
1169,O004,Officer 4,Team B,2024-04-05,2024-04-05,Closed,9,48,Yes,4.3
1170,O005,Officer 5,Team C,2024-04-01,2024-04-03,Closed,68,48,No,3.9
1171,O004,Officer 4,Team B,2024-04-23,2024-04-23,Closed,7,48,Yes,4.6
1172,O003,Officer 3,Team B,2024-04-23,,Open,68,48,,
1173,O001,Officer 1,Team A,2024-04-03,2024-04-05,Closed,62,48,No,4.9
1174,O004,Officer 4,Team B,2024-04-15,2024-04-19,Closed,96,48,No,4.5
1175,O002,Officer 2,Team A,2024-04-29,2024-04-29,Closed,5,48,Yes,4.5
1176,O004,Officer 4,Team B,2024-04-14,2024-04-17,Closed,85,48,No,4.4
1177,O004,Officer 4,Team B,2024-04-04,2024-04-05,Closed,27,48,Yes,4.5
1178,O001,Officer 1,Team A,2024-04-23,2024-04-24,Closed,30,48,Yes,3.5
1179,O005,Officer 5,Team C,2024-04-08,2024-04-08,Closed,8,48,Yes,4.6
1180,O001,Officer 1,Team A,2024-04-23,,Open,8,48,,
1181,O004,Officer 4,Team B,2024-04-25,2024-04-26,Closed,28,48,Yes,4.5
1182,O005,Officer 5,Team C,2024-04-11,2024-04-13,Closed,58,48,No,4.9
1183,O001,Officer 1,Team A,2024-04-05,2024-04-08,Closed,90,48,No,4.7
1184,O005,Officer 5,Team C,2024-04-16,2024-04-18,Closed,55,48,No,3.7
1185,O005,Officer 5,Team C,2024-04-18,2024-04-20,Closed,71,48,No,4.1
1186,O005,Officer 5,Team C,2024-04-18,2024-04-21,Closed,94,48,No,4.4
1187,O003,Officer 3,Team B,2024-04-27,,Open,71,48,,
1188,O005,Officer 5,Team C,2024-04-19,2024-04-22,Closed,84,48,No,4.8
1189,O005,Officer 5,Team C,2024-04-13,2024-04-14,Closed,43,48,Yes,3.7
1190,O003,Officer 3,Team B,2024-04-04,2024-04-04,Closed,21,48,Yes,3.8
1191,O004,Officer 4,Team B,2024-04-25,,Open,19,48,,
1192,O004,Officer 4,Team B,2024-04-22,,Open,5,48,,
1193,O005,Officer 5,Team C,2024-04-19,2024-04-22,Closed,76,48,No,4.4
1194,O005,Officer 5,Team C,2024-04-25,2024-04-26,Closed,44,48,Yes,4.1
1195,O002,Officer 2,Team A,2024-04-30,,Open,76,48,,
1196,O004,Officer 4,Team B,2024-04-20,,Open,34,48,,
1197,O001,Officer 1,Team A,2024-04-22,2024-04-24,Closed,71,48,No,4.6
1198,O003,Officer 3,Team B,2024-04-25,2024-04-25,Closed,10,48,Yes,3.5
1199,O002,Officer 2,Team A,2024-04-15,2024-04-18,Closed,72,48,No,4.1
1200,O001,Officer 1,Team A,2024-04-11,2024-04-12,Closed,41,48,Yes,4.9
